coo: 48.867502_12.600753;E 00:00:00;A 00:00:00;E 01:00:00;A 01:00:00;E 02:00:00;A 02:00:00;E 03:00:00;A 03:00:00;E 04:00:00;A 04:00:00;E 05:00:00;A 05:00:00;E 06:00:00;A 06:00:00;E 07:00:00;A 07:00:00;E 08:00:00;A 08:00:00;E 09:00:00;A 09:00:00;E 10:00:00;A 10:00:00;E 11:00:00;A 11:00:00;E 12:00:00;A 12:00:00;E 13:00:00;A 13:00:00;E 14:00:00;A 14:00:00;E 15:00:00;A 15:00:00;E 16:00:00;A 16:00:00;E 17:00:00;A 17:00:00;E 18:00:00;A 18:00:00;E 19:00:00;A 19:00:00;E 20:00:00;A 20:00:00;E 21:00:00;A 21:00:00;E 22:00:00;A 22:00:00;E 23:00:00;A 23:00:00;
2021-01-01;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;6.25;136.24;12.25;148.84;16.33;162.45;18.11;176.78;17.42;191.26;14.33;205.25;9.14;218.32;2.25;230.35;--;--;--;--;--;--;--;--;--;--;--;--;
2021-01-02;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;6.28;136.10;12.30;148.70;16.39;162.32;18.20;176.67;17.53;191.16;14.45;205.17;9.27;218.26;2.39;230.31;--;--;--;--;--;--;--;--;--;--;--;--;
2021-01-03;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;6.31;135.96;12.35;148.57;16.46;162.19;18.29;176.55;17.64;191.07;14.58;205.10;9.40;218.21;2.53;230.27;--;--;--;--;--;--;--;--;--;--;--;--;
2021-01-04;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;6.35;135.82;12.41;148.43;16.54;162.06;18.39;176.44;17.76;190.97;14.71;205.03;9.54;218.16;2.67;230.24;--;--;--;--;--;--;--;--;--;--;--;--;
2021-01-05;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;6.39;135.67;12.47;148.29;16.63;161.93;18.50;176.32;17.88;190.88;14.85;204.96;9.69;218.12;2.82;230.22;--;--;--;--;--;--;--;--;--;--;--;--;
2021-01-06;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;6.44;135.53;12.54;148.14;16.72;161.80;18.61;176.21;18.01;190.79;14.99;204.90;9.84;218.08;2.98;230.20;--;--;--;--;--;--;--;--;--;--;--;--;
2021-01-07;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;6.50;135.37;12.62;148.00;16.82;161.67;18.73;176.10;18.15;190.71;15.15;204.84;10.00;218.05;3.14;230.19;--;--;--;--;--;--;--;--;--;--;--;--;
2021-01-08;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;6.57;135.22;12.71;147.85;16.93;161.54;18.86;175.99;18.30;190.62;15.30;204.79;10.17;218.02;3.31;230.18;--;--;--;--;--;--;--;--;--;--;--;--;
2021-01-09;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;6.64;135.07;12.80;147.71;17.05;161.41;19.00;175.88;18.45;190.54;15.47;204.74;10.34;217.99;3.48;230.18;--;--;--;--;--;--;--;--;--;--;--;--;
2021-01-10;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;6.72;134.91;12.90;147.56;17.17;161.27;19.14;175.77;18.61;190.46;15.64;204.69;10.51;217.97;3.66;230.18;--;--;--;--;--;--;--;--;--;--;--;--;
