Year/Month	AvgTemp	MinTemp	MaxTemp	Rain	RainiestDay	SunDuration	SummerDays	HotDays	FrostDays	HeavyFrost	IceDays
2011/01	-0,6	-14,5	10,8	50,2	15,2	54,4	0	0	21	5	9
2011/02	-0,3	-9,1	11,2	20,9	11,6	74,5	0	0	25	0	6
2011/03	5,1	-6,3	18,9	30,2	19,9	192,8	0	0	24	0	0
2011/04	11,7	-3,1	25	18,7	11,5	252,4	1	0	4	0	0
2011/05	14,5	-1,8	28,1	109,4	25,6	287,9	9	0	2	0	0
2011/06	17,3	7,6	29,9	87	17,4	190	10	0	0	0	0
2011/07	16,6	5,2	28,5	105	21,5	185,7	8	0	0	0	0
2011/08	18,8	5,7	33,5	68	20,7	237,2	16	5	0	0	0
2011/09	15,3	4,2	27,8	45,9	21,9	181,7	6	0	0	0	0
2011/10	8,6	-4,7	24	45,5	11,8	154,1	0	0	8	0	0
2011/11	2,3	-6,5	16,5	0,2	0,1	69,8	0	0	20	0	6
2011/12	2,8	-5,4	12,6	73,1	11,8	16,5	0	0	13	0	0
2012/01	1,3	-13,7	9,2	78,2	22,3	69,8	0	0	14	2	3
2012/02	-4,1	-21,2	11,1	21,1	3,8	103,2	0	0	22	13	14
2012/03	6,6	-3,4	19,3	6,5	2	179,8	0	0	16	0	0
2012/04	9,4	-4,7	29,3	43,8	13,7	163,9	3	0	6	0	0
2012/05	15	-1,1	29,6	56,8	21,2	263,7	6	0	1	0	0
2012/06	17,5	4,2	31,6	83,6	18,5	212,1	12	3	0	0	0
2012/07	18,7	4,9	30,8	90,8	21,2	202	14	3	0	0	0
2012/08	18,9	7,6	33,8	154,8	23	255	18	3	0	0	0
2012/09	14	2,8	27,3	41,5	11,1	166,7	3	0	0	0	0
2012/10	8	-2,8	23,2	28	6,3	93,4	0	0	6	0	0
2012/11	4,5	-1,7	13	63,2	19,2	36,8	0	0	6	0	0
2012/12	0	-17,2	11,3	81,7	14,4	46,9	0	0	23	2	7
2013/01	-0,1	-10,6	14,4	68,8	19,5	22,1	0	0	22	3	16
2013/02	-1,1	-12,8	7,4	55,1	19,9	31,5	0	0	23	4	10
2013/03	1,8	-7,7	16,5	32	8,8	134,7	0	0	21	0	1
2013/04	9,2	-3,3	25	33,4	13,9	135,5	1	0	7	0	0
2013/05	12,3	3,9	24,4	134,8	21,3	128,6	0	0	0	0	0
2013/06	16,3	3,4	33,3	119,3	25,9	210,5	9	4	0	0	0
2013/07	20,6	6,1	35,3	9,4	3,2	319,1	23	6	0	0	0
2013/08	18,8	5,6	34,6	63,5	23,7	248,3	13	7	0	0	0
2013/09	13,7	2,5	27,4	58,2	9,6	128,9	4	0	0	0	0
2013/10	9,5	-1,5	21,8	51,9	21,5	108,5	0	0	3	0	0
2013/11	4,2	-8,3	17,5	43,8	9,4	42,7	0	0	10	0	2
2013/12	1,1	-5	8,3	8,9	2,6	48,9	0	0	23	0	4
2014/01	1,2	-6,3	9,2	29,3	6,3	41	0	0	22	0	4
2014/02	3	-4,9	13,9	10,7	3,6	105,4	0	0	21	0	0
2014/03	6,9	-4,6	21,3	25,4	13,4	210,3	0	0	17	0	0
2014/04	10,7	-4,3	22,5	29,7	5,9	185	0	0	3	0	0
2014/05	13	0,4	28,8	102,3	22,8	170,2	4	0	0	0	0
2014/06	17,4	4	31,8	25,1	9,1	313,5	10	3	0	0	0
2014/07	19,3	7,6	32,9	65,3	29,6	235,3	17	2	0	0	0
2014/08	16,7	4,3	29,8	94	29,7	162,7	7	0	0	0	0
